% Italian verb lexicon for enclitic splitting and clitic deprel assignment.
%
% Extracted from the gold annotation of UD_Italian-ISDT (train+dev) and
% UD_Italian-PoSTWITA (train): every lemma of a VERB/AUX token, with the
% argument frames actually observed for it.
%
%   Obj   the lemma governs an obj  in the gold data
%   Iobj  the lemma governs an iobj in the gold data
%   Refl  the lemma governs an expl* (reflexive, impersonal or passive si)
%   Freq  occurrences as VERB/AUX, as a rough confidence weight
%
% The three frames are recorded separately on purpose. A single valency label
% would have to be arbitrary for most verbs, since Italian verbs freely combine
% frames (dare qc a qn, darsi, darne): 'yes' here means attested, never
% exclusive. Rules should therefore test the frame they need rather than a
% summary label, and treat a lemma with several 'yes' values as undecided.
%
% Used by: italian-isdt-ud.grs (clitic deprel assignment)
%          childes.py --verb_lexicon (licenses the enclitic split)
lemma	Obj	Iobj	Refl	Freq
abbandonare	yes	no	no	30
abbassare	yes	no	yes	11
abbattere	yes	no	yes	16
abbinare	yes	no	yes	8
abbondare	no	no	no	2
abbracciare	yes	no	no	10
abitare	yes	no	no	17
abituare	yes	yes	yes	13
abolire	yes	no	no	10
abrogare	yes	no	no	10
abusare	no	yes	no	2
accadere	yes	yes	no	27
accanire	yes	no	yes	2
accantonare	yes	no	no	3
accecare	yes	no	no	3
accedere	no	no	yes	4
accelerare	yes	no	no	3
accendere	yes	no	yes	9
accennare	no	no	yes	2
accentuare	yes	no	yes	4
accertare	yes	no	no	8
accettare	yes	yes	yes	63
accingere	yes	no	yes	2
acclamare	yes	no	no	4
accogliere	yes	no	no	20
accoltellare	yes	no	no	2
accomodare	no	no	yes	2
accompagnare	yes	no	no	16
accomunare	yes	no	no	2
acconsentire	no	no	no	2
accontentare	yes	no	yes	13
accoppiare	yes	no	yes	2
accorciare	yes	no	no	2
accordare	yes	no	yes	6
accorgere	no	yes	yes	15
accorrere	no	yes	yes	5
accostare	yes	no	yes	3
accreditare	yes	no	yes	4
accrescere	yes	yes	no	4
accumulare	yes	no	yes	12
accusare	yes	no	yes	40
acquisire	yes	no	no	10
acquistare	yes	yes	yes	44
adattare	yes	no	yes	10
addentrare	no	no	yes	3
addestrare	no	no	no	4
adeguare	yes	no	yes	8
adempiere	yes	no	no	8
aderire	no	no	yes	6
adibire	no	no	no	3
adombrare	yes	no	yes	2
adoperare	yes	no	yes	3
adorare	yes	yes	no	14
adottare	yes	no	yes	46
affacciare	yes	no	yes	8
affascinare	yes	no	no	4
affermare	yes	no	yes	31
afferrare	yes	no	no	2
affiancare	yes	no	no	2
affidare	yes	yes	yes	24
affievolire	yes	no	yes	3
affiggere	yes	no	no	3
affiliare	no	no	yes	3
affiorare	no	no	no	2
affittare	yes	no	no	6
affliggere	yes	no	no	4
affluire	no	no	no	2
affogare	no	no	no	4
affondare	yes	no	no	17
affossare	yes	no	no	3
affrancare	no	no	no	2
affrettare	no	no	yes	2
affrontare	yes	no	yes	32
agevolare	yes	no	no	7
aggiornare	yes	no	no	2
aggirare	yes	no	yes	6
aggiudicare	yes	no	yes	2
aggiungere	yes	no	yes	50
aggiuntare	yes	no	no	2
aggiustare	yes	no	no	2
aggrappare	yes	no	yes	4
aggravare	yes	no	yes	6
aggredire	yes	no	no	3
agire	no	no	no	18
aiutare	yes	yes	yes	69
alienare	yes	no	no	2
alimentare	yes	no	no	11
allacciare	no	no	yes	3
allargare	yes	yes	yes	7
allarmare	no	no	no	2
alleare	no	no	no	2
allegare	no	no	no	3
alleggerire	yes	no	no	5
allenare	yes	no	yes	2
allestire	no	no	no	4
alleviare	yes	no	no	3
allocare	no	no	no	2
alloggiare	yes	no	no	2
allontanare	yes	no	yes	14
alludere	yes	no	no	3
allungare	yes	no	yes	4
alterare	yes	yes	no	10
alternare	yes	no	no	3
alzare	yes	yes	yes	20
amare	yes	no	yes	91
ambientare	no	no	yes	2
ammalare	no	no	yes	9
ammassare	yes	no	no	3
ammazzare	yes	no	no	9
ammettere	yes	no	no	53
amministrare	yes	no	yes	3
ammirare	yes	no	no	8
ammonire	yes	no	no	5
ammontare	no	no	no	10
ampliare	yes	no	yes	8
amplificare	yes	no	no	2
analizzare	yes	no	yes	9
andare	yes	yes	yes	444
animare	yes	no	yes	3
annaspare	no	no	no	3
annebbiare	yes	no	no	2
annegare	no	no	no	3
annoiare	yes	yes	yes	4
annotare	yes	no	no	5
annoverare	yes	no	no	2
annuire	no	no	no	3
annullare	yes	no	no	5
annunciare	yes	yes	yes	39
annusare	yes	no	no	2
anticipare	yes	yes	no	6
apparire	no	yes	no	34
appartenere	no	yes	no	75
appendere	yes	no	yes	9
applaudire	yes	no	no	5
applicare	yes	yes	yes	82
appoggiare	yes	no	yes	48
apporre	yes	no	no	3
apportare	yes	no	yes	9
apprendere	yes	no	no	5
apprestare	no	no	yes	2
apprezzare	yes	no	no	17
approdare	no	no	no	6
approfittare	no	yes	no	10
approfondire	yes	no	yes	3
appropriare	no	no	yes	2
approvare	yes	no	no	57
aprire	yes	yes	yes	69
archiviare	yes	no	no	2
ardere	no	no	no	2
armare	yes	no	yes	8
armonizzare	yes	no	no	5
arrabbiare	yes	no	yes	6
arrendere	yes	no	yes	9
arrestare	yes	no	yes	17
arricchire	yes	no	yes	6
arrivare	yes	yes	yes	197
articolare	yes	no	no	2
asciugare	yes	no	yes	9
ascoltare	yes	yes	no	44
aspettare	yes	yes	yes	68
aspirare	no	no	no	2
assalire	no	no	no	2
assassinare	yes	no	no	13
assediare	no	no	no	3
assegnare	yes	yes	no	26
assemblare	yes	no	no	5
assicurare	yes	yes	yes	47
assillare	yes	no	no	2
assistere	yes	no	yes	17
associare	yes	no	yes	14
assoggettare	yes	no	no	5
assolvere	yes	no	no	6
assomigliare	no	yes	no	2
assorbire	yes	yes	no	10
assumere	yes	yes	yes	40
attaccare	yes	yes	yes	41
attendere	yes	no	yes	31
attenere	no	no	yes	4
attenuare	yes	no	no	5
atterrare	yes	no	no	7
attestare	yes	no	yes	6
attingere	yes	no	no	3
attirare	yes	yes	no	12
attivare	yes	no	yes	10
attraversare	yes	yes	no	26
attrezzare	no	no	yes	3
attribuire	yes	yes	yes	36
attuare	yes	no	yes	9
attutire	yes	no	no	2
augurare	yes	yes	yes	10
aumentare	yes	yes	no	62
auspicare	yes	no	no	8
autodefinire	no	no	yes	2
autorizzare	yes	no	no	12
avanzare	yes	no	no	20
avere	yes	yes	yes	4037
avvalere	no	no	yes	7
avvalorare	yes	no	yes	2
avvenire	no	no	yes	68
avventurare	no	no	yes	2
avvertire	yes	no	no	12
avviare	yes	no	yes	21
avvicinare	yes	no	yes	12
avvisare	yes	yes	yes	6
avvistare	no	no	no	2
avvolgere	yes	no	no	5
azionare	yes	no	no	3
azzardare	yes	no	yes	2
azzerare	yes	no	no	2
baciare	yes	yes	no	5
bagnare	yes	no	no	3
ballare	yes	no	no	8
bandire	no	no	no	5
basare	yes	no	yes	19
bastare	yes	yes	no	66
battere	yes	no	yes	20
battezzare	yes	no	no	6
beccare	yes	no	no	3
benedire	yes	no	no	2
beneficiare	yes	no	no	4
bere	yes	no	yes	17
biasimare	yes	no	no	2
bilanciare	yes	no	no	2
bisognare	yes	no	no	50
bistrattare	no	no	no	2
blandire	yes	yes	no	2
bloccare	yes	no	no	16
bocciare	yes	no	no	8
boicottare	yes	no	no	3
bollire	yes	no	no	2
brindare	no	no	no	4
bruciare	yes	no	no	13
buttare	yes	yes	yes	9
cacare	yes	no	no	2
cacciare	yes	yes	no	15
cadere	yes	no	no	37
cagare	yes	yes	yes	8
cagionare	yes	no	no	5
calare	yes	no	yes	11
calcolare	yes	no	no	14
calmare	yes	no	no	3
cambiare	yes	yes	yes	98
camminare	yes	no	no	12
cancellare	yes	no	yes	19
candidare	yes	no	yes	20
cantare	yes	no	yes	40
capire	yes	yes	yes	86
capitare	yes	yes	yes	39
capovolgere	yes	no	no	2
caratterizzare	yes	no	no	9
caricare	yes	no	no	5
catturare	yes	no	no	6
causare	yes	yes	no	44
cavalcare	yes	no	no	4
cavare	yes	no	yes	4
cedere	yes	no	yes	21
celebrare	yes	no	yes	16
censurare	yes	no	no	3
centrare	yes	no	no	6
cercare	yes	yes	yes	109
cerchiare	yes	no	no	2
certificare	yes	no	no	2
cessare	yes	no	no	21
chiacchierare	no	no	no	3
chiamare	yes	yes	yes	256
chiarire	yes	no	yes	8
chiedere	yes	yes	yes	182
chiudere	yes	no	yes	47
circolare	yes	no	no	11
circondare	yes	no	no	7
citare	yes	yes	yes	22
classificare	no	no	yes	10
cliccare	no	no	no	11
cogliere	yes	no	no	14
coincidere	no	no	no	4
coinvolgere	yes	no	no	30
collaborare	no	no	no	10
collaudare	yes	no	no	3
collegare	yes	no	yes	20
collezionare	yes	no	no	3
collocare	yes	no	yes	8
colmare	yes	no	no	6
colorare	no	no	no	3
colpire	yes	yes	no	41
coltivare	yes	no	no	4
comandare	yes	no	yes	11
combattere	yes	no	no	22
combinare	yes	no	yes	16
cominciare	yes	no	yes	87
commemorare	yes	no	no	2
commentare	yes	no	yes	23
commerciare	no	no	no	2
commettere	yes	no	no	24
commissionare	yes	no	no	3
commuovere	yes	yes	yes	9
comparire	no	no	no	9
compensare	yes	no	no	2
comperare	yes	no	no	2
competere	no	yes	no	5
compiere	yes	no	yes	42
completare	yes	no	no	15
complicare	yes	no	yes	3
complimentare	no	no	yes	4
comporre	yes	no	yes	31
comportare	yes	no	yes	37
compostare	no	no	no	2
comprare	yes	yes	yes	51
comprendere	yes	no	yes	72
compromettere	yes	yes	no	5
computare	no	no	yes	3
comunicare	yes	yes	yes	31
concedere	yes	yes	yes	61
concentrare	yes	no	yes	16
concepire	yes	no	no	4
concernere	yes	no	no	27
conciliare	yes	no	yes	3
concludere	yes	no	yes	41
concordare	yes	no	no	13
concorrere	no	no	no	12
condannare	yes	no	no	17
condire	yes	no	no	3
condividere	yes	no	no	30
condizionare	yes	no	no	4
condurre	yes	no	yes	33
conferire	yes	yes	no	15
confermare	yes	yes	no	38
confessare	yes	yes	no	9
confidare	yes	no	no	6
confinare	no	no	no	2
confondere	yes	no	no	5
conformare	no	no	yes	4
confortare	yes	yes	no	2
confrontare	yes	no	yes	9
congelare	yes	no	no	5
congratulare	no	no	yes	9
coniare	yes	no	no	5
connettere	yes	no	yes	5
conoscere	yes	no	yes	100
conquistare	yes	no	yes	21
consacrare	yes	no	no	2
consegnare	yes	no	yes	24
conseguire	yes	no	no	16
consentire	yes	yes	yes	72
conservare	yes	yes	yes	30
considerare	yes	no	yes	126
consigliare	yes	yes	yes	22
consistere	no	no	no	21
consolare	yes	no	no	2
consolidare	yes	no	no	3
constare	no	no	no	2
constatare	no	no	no	4
consultare	yes	no	no	8
consumare	yes	no	yes	19
contagiare	yes	no	no	2
contare	yes	no	yes	18
contattare	yes	no	no	3
contemperare	yes	no	no	2
contemplare	yes	no	no	6
contenere	yes	no	yes	47
contestare	yes	yes	no	8
continuare	yes	no	yes	105
contrapporre	yes	no	yes	2
contrarre	yes	no	no	5
contrastare	yes	no	no	7
contribuire	yes	no	yes	55
controllare	yes	no	no	38
convalidare	yes	no	no	2
convenire	yes	yes	yes	14
convertire	yes	no	yes	3
convincere	yes	yes	yes	29
convivere	no	no	no	2
convocare	yes	no	yes	20
coordinare	yes	no	no	14
copiare	yes	yes	no	4
coprire	yes	yes	yes	26
corredare	no	no	no	3
correggere	no	no	no	6
correre	yes	no	yes	45
corrispondere	yes	yes	yes	28
corrodere	yes	yes	no	2
costare	yes	yes	no	31
costituire	yes	no	yes	90
costringere	yes	no	yes	46
costruire	yes	yes	yes	77
creare	yes	yes	yes	100
credere	yes	yes	yes	117
crescere	yes	no	yes	43
criptare	no	no	no	2
criticare	yes	no	no	25
crocifiggere	yes	no	no	3
crollare	yes	no	no	12
cucinare	yes	no	no	5
cullare	yes	no	no	2
culminare	no	no	no	3
cuocere	yes	no	no	2
curare	yes	yes	yes	18
danneggiare	yes	no	yes	12
dare	yes	yes	yes	310
datare	yes	no	no	3
debuttare	no	no	no	3
decidere	yes	no	yes	86
declamare	no	no	no	2
declassare	yes	no	no	6
decollare	no	no	no	2
decorare	yes	no	no	2
decorrere	no	no	no	10
decretare	yes	no	no	2
dedicare	yes	yes	no	49
dedurre	yes	no	yes	4
definire	yes	no	yes	60
defluire	yes	no	no	2
degenerare	no	no	no	3
degnare	yes	no	yes	2
degradare	yes	no	no	2
delegare	yes	yes	no	12
deliberare	yes	no	no	11
delineare	yes	no	yes	8
delinquere	no	no	no	5
